1,AARTIPHARM,INE0LRU01027,633.35,20
2,DEEPAKNTR,INE288B01029,2622,20
3,TVSSCS,INE395N01027,183.57,20
4,RELINFRA,INE036A01016,260.6,100
5,NFL,INE870D01012,115.18,21.95
6,MARUTI,INE585B01010,11399.7,9
7,RAJESHEXPO,INE343B01030,252.65,20
8,BLUESTARCO,INE472A01039,1795.05,20
9,SGBJAN29IX,IN0020200377,8115.52,10
10,ITI,INE248A01017,327.35,23.64
11,BECTORFOOD,INE495P01012,1702.15,20
12,SGBMAR25,IN0020160126,7980,10
13,INDIAGLYCO,INE560A01015,1163.9,20
14,PGEL,INE457L01029,646.55,22.65
15,PREMIERENE,INE0BS701011,1040.6,20
16,SGBSEP27,IN0020190115,8006.66,10
17,SGBNOV25VI,IN0020170083,8049,10
18,RECLTD,INE020B01018,528.35,20
19,SGBAUG27,IN0020190107,8070.1,10
20,SGBMAY26,IN0020180033,8054.99,10
21,FLUOROCHEM,INE09N301011,4230.85,20
22,GSEC10IETF,INF109KC18O0,240.25,80
23,CHEMPLASTS,INE488A01050,489.4,20
24,PAGEIND,INE761H01022,47345.3,20
25,EICHERMOT,INE066A01021,4793.45,9.72
26,GUJALKALI,INE186A01019,805.65,20
27,NMDC,INE584A01023,232.93,20
28,KIRLOSENG,INE146L01010,1181.95,20
29,MOIL,INE490G01020,316.1,20
30,ANANTRAJ,INE242C01024,733,20
31,LMW,INE269B01029,16037.05,20
32,TIINDIA,INE974X01010,3620.2,20
33,STANLEY,INE01A001028,476.05,20
34,CHAMBLFERT,INE085A01013,479.8,20
35,SGBNOV25,IN0020170091,8099,10
36,RCF,INE027A01015,161.98,21.3
37,NCC,INE868B01028,303.65,20
38,IREDA,INE202E01016,197.47,21.5
39,STOVEKRAFT,INE00IN01015,802.75,20
40,VENUSPIPES,INE0JA001018,1893.1,20
41,TITAN,INE280A01028,3206.6,9
42,BASF,INE373A01013,7865.9,20
43,NIFTYIETF,INF109K012R6,268.7,6
44,HDFCBANK,INE040A01034,1766.3,9
45,HINDALCO,INE038A01020,655.35,13.12
46,LIQUIDBEES,INF732E01037,1000,5
47,POWERINDIA,INE07Y701011,13491.8,20
48,TATACONSUM,INE192A01025,975.95,9.38
49,SUBEXLTD,INE754A01055,25.14,20.29
50,SGBMAR30X,IN0020210319,8101.78,10
51,TANLA,INE483C01032,750.7,20
52,TORNTPHARM,INE685A01028,3151.65,20
53,YESBANK,INE528G01035,19.89,20
54,COLPAL,INE259A01022,2872.65,20
55,NRBBEARING,INE349A01021,289.75,20
56,ROSSARI,INE02A801020,834.9,20
57,SGBJUN30,IN0020220045,8084.52,10
58,SHRIRAMPPS,INE217L01019,104.6,20.37
59,SGBOCT25IV,IN0020170067,8111,10
60,DMART,INE192R01011,3885.7,20
61,SULA,INE142Q01026,414.55,20
62,ABSLLIQUID,INF209KB18T9,1000,5
63,INDUSTOWER,INE121J01017,325.05,20
64,RICOAUTO,INE209B01025,91.75,21.2
65,UCOBANK,INE691A01018,44.4,20
66,DOMS,INE321T01012,2786.7,20
67,AADHARHFC,INE883F01010,435.85,20
68,JUNIORBEES,INF732E01045,747.41,6.25
69,KFINTECH,INE138Y01010,996.4,20
70,FORTIS,INE061F01013,623.95,20
