123,CEATLTD,INE482A01020,2873.7,20
124,NSLNISP,INE0NNS01018,50.08,20
125,SGBOCT25V,IN0020170075,8050,10
126,MRF,INE883A01011,121025.95,20
127,SGBJUN28,IN0020200104,8053.69,10
128,SYNGENE,INE398R01022,913.5,20
129,INOXINDIA,INE616N01034,1130.85,20
130,ACC,INE012A01025,2320.55,20
131,GRINDWELL,INE536A01023,2191.15,20
132,SHREECEM,INE070A01015,24778.65,20
133,ITIETF,INF109KC16I6,44.79,20
134,PHARMABEES,INF204KC1089,23,20
135,CLEAN,INE227W01023,1483.6,20
136,KROSS,INE0O6601022,209.75,20
137,HCLTECH,INE860A01027,1831.95,9
138,JUBLPHARMA,INE700A01033,1254.55,20
139,TIMKEN,INE325A01013,3399.45,20
140,SGBMAR28X,IN0020190552,8268.1,10
141,SGBSEP31II,IN0020230093,8401.9,10
142,IIFL,INE530B01024,454,21.35
143,SBFC,INE423Y01016,85.79,20
144,ARE&M,INE885A01032,1311.25,20
145,ADANIENSOL,INE931S01010,964.05,22.59
146,KAYNES,INE918Z01012,5781.6,20.07
147,STARCEMENT,INE460H01021,203.82,20
148,SGBJUL25,IN0020170034,8001.1,10
149,ANDHRAPAP,INE435A01051,99.5,20
150,TI,INE133E01013,355.5,20.17
151,EXIDEIND,INE302A01020,447.8,20
152,ABREL,INE055A01016,2839.35,20
153,THERMAX,INE152A01029,5101.7,20
154,NEXT50IETF,INF109KC1NS5,74.2,6.55
155,GOKEX,INE887G01027,898.05,20
156,GILLETTE,INE322A01010,10002.8,20
157,DHAMPURSUG,INE041A01016,198.5,20
158,MOTILALOFS,INE338I01027,934.05,21.17
159,ZAGGLE,INE07K301024,414.95,100
160,SGBOCT27,IN0020190370,8091.22,10
161,VEEDOL,INE484C01030,1986.85,20
162,JSWSTEEL,INE019A01038,989.8,10.62
163,TDPOWERSYS,INE419M01027,431.85,20
164,BAJAJHLDNG,INE118A01012,10498.85,20
165,TTML,INE517B01013,72.77,20.28
166,IDEAFORGE,INE349Y01013,619.3,20
167,M&MFIN,INE774D01024,272.55,20
168,MOM30IETF,INF109KC17C7,35.36,7.26
169,KNRCON,INE634I01029,297,20
170,NAVKARCORP,INE278M01019,142.12,24.79
171,HATHWAY,INE982F01036,19.63,20
172,RAIN,INE855B01025,161.05,20
173,DISHTV,INE836F01026,12.74,20.75
174,IRFC,INE053F01010,153.9,20.84
175,WIPRO,INE075A01022,563.4,10.77
176,JTLIND,INE391J01024,206.3,20
177,TATATECH,INE142M01025,1017,20
178,ATUL,INE100A01010,8034.75,20
179,GMRINFRA,INE776C01039,80.89,20
180,NEWGEN,INE619B01017,1290.6,20
181,NIACL,INE470Y01017,193.13,22.38
182,INTERARCH,INE00M901018,1700.65,20
183,DIVISLAB,INE361B01024,5959.95,20
184,ASTERDM,INE914M01019,435.15,20
185,SENCO,INE602W01019,1153.2,20
186,SHARDACROP,INE221J01015,814.7,20
187,SGBAPR28I,IN0020200062,8215.21,10
188,ABSLAMC,INE404A01024,823.35,20
189,AARTIDRUGS,INE767A01016,495.2,20
190,BANKBEES,INF204KB15I9,533.12,20
191,SGBAUG29V,IN0020210129,8379.5,10
192,ABDL,INE552Z01027,330.25,20
193,TRENT,INE849A01020,6505.5,14.05
194,EBBETF0430,INF754K01KO2,1426.15,20
195,MFSL,INE180A01020,1235.8,20
196,GLS,INE03Q201024,1116.75,20
197,BANSALWIRE,INE0B9K01025,425.1,20
198,FINCABLES,INE235A01022,1239,20
199,PVRINOX,INE191H01014,1504.85,20
200,TATACHEM,INE092A01019,1120.25,20
201,KAJARIACER,INE217B01036,1222.85,20
202,SILVERBEES,INF204KC1402,87.99,20
203,APLLTD,INE901L01018,1079.9,20
204,CAPLIPOINT,INE475E01026,2121.7,20
205,SGBNV29VII,IN0020210178,8093.79,10
206,POLYCAB,INE455K01017,6816.75,20
207,BSOFT,INE836A01035,573,20
208,AJANTPHARM,INE031B01049,2985.6,20
209,PVTBANIETF,INF109KC18U7,25.43,20
210,ACI,INE128X01021,685.85,20
211,HONAUT,INE671A01010,44375,20
212,SIEMENS,INE003A01024,7073.45,20
213,HAL,INE066F01020,4433.8,20
214,MAZDOCK,INE249Z01012,4256.5,25.72
215,HINDCOPPER,INE531E01026,291.2,20.54
216,TRIDENT,INE064C01022,34.03,20
217,SGBJUN29II,IN0020210061,8163.09,10
218,AUBANK,INE949L01017,602.3,20
219,MOREPENLAB,INE083A01026,84.6,21.66
220,UPL,INE628A01036,567.15,20
221,SGBJUL27,IN0020190081,8140,10
222,MARKSANS,INE750C01026,301.55,20.81
223,SANSTAR,INE08NE01025,120.94,20
224,SAREGAMA,INE979A01025,512.5,20
225,HCC,INE549A01026,40,25.7
226,POLICYBZR,INE417T01026,1739,20
227,CENTURYPLY,INE348B01021,849.5,20
228,HDFCLIFE,INE795G01014,711.7,9.74
229,BAJAJELEC,INE193E01025,919.45,20
230,ECLERX,INE738I01010,3295.35,20
231,HIKAL,INE475B01022,381.8,20
232,NAUKRI,INE663F01024,7903,20
233,APARINDS,INE372A01015,9360.35,20
234,TRITURBINE,INE152M01016,655.95,20
235,SOUTHBANK,INE683A01023,24.39,20
236,ALPHA,INF174KA1IA5,54.79,7.55
237,HOMEFIRST,INE481N01025,1142.95,20
238,PNGJL,INE953R01016,742.15,20
239,LTFOODS,INE818H01020,390.1,20
240,PEL,INE140A01024,1066.9,20
