Symbol,Security,From Series,To Series,Change Date,Remarks
ABINFRA,A B INFRABUILD LIMITED,ST,BE,08-NOV-2024,"-"
ASHALOG,ASHAPURA LOGISTICS LIMITED,SM,ST,08-NOV-2024,"-"
FRESHARA,FRESHARA AGRO EXPORTS LIMITED,ST,SM,08-NOV-2024,"-"
SPECTSTM,SPECTRUM TALENT MANAGEMENT LIMITED,SM,ST,08-NOV-2024,"-"
SVLL,SHREE VASU LOGISTICS LIMITED,EQ,BE,08-NOV-2024,"-"
