Confirmed list of securities to be auctioned in A 2024212 to be held on Nov 08 2024.

Sr No,Symbol,Series,Total Qty
207,TIMETECHNO,EQ,10
208,TPHQ,EQ,3448
209,TRITURBINE,EQ,2
210,TVSMOTOR,EQ,74
211,UNIONBANK,EQ,101
212,UPL,EQ,250
213,UTKARSHBNK,EQ,544
214,VASCONEQ,EQ,5
215,VIJIFIN,EQ,16
216,VIPIND,EQ,67
217,VOLTAMP,EQ,1
218,WAAREEENER,EQ,5
219,WEBELSOLAR,EQ,2
220,WELCORP,EQ,65
221,WIPRO,EQ,2
222,XCHANGING,EQ,19
223,YESBANK,EQ,201
