Sr. No,Symbol,Series,Security Name,From,To
1,JSWHL,EQ,JSW HOLDINGS LIMITED,10,5
2,PIGL,BE,POWER & INSTRUMENTATION (GUJARAT) LIMITED,2,5
3,PRUDMOULI,BE,PRUDENTIAL SUGAR CORPORATION LIMITED,2,5
4,TIJARIA,BE,TIJARIA POLYPIPES LIMITED,2,5
5,ASPIRE,SM,ASPIRE & INNOVATIVE ADVERTISING LIMITED,20,10
6,LOYALTEX,EQ,LOYAL TEXTILE MILLS LIMITED,20,10
7,MARSHALL,BE,MARSHALL MACHINES LIMITED,20,5
8,3PLAND,EQ,3P LAND HOLDINGS LIMITED,5,20
9,AIRAN,EQ,AIRAN LIMITED,5,10
10,ARENTERP,EQ,RAJDARSHAN INDUSTRIES LIMITED,5,10
11,ARTNIRMAN,EQ,ART NIRMAN LIMITED,5,10
12,BAIDFIN,EQ,BAID FINSERV LIMITED,5,20
13,BALAJITELE,EQ,BALAJI TELEFILMS LIMITED,5,20
14,CAREERP,EQ,CAREER POINT LIMITED,5,20
15,DCM,EQ,DCM  LIMITED,5,20
16,DICIND,EQ,DIC INDIA LIMITED,5,20
17,INCREDIBLE,EQ,INCREDIBLE INDUSTRIES LIMITED,5,20
18,IZMO,EQ,IZMO LIMITED,5,10
19,KOTHARIPRO,EQ,KOTHARI PRODUCTS LIMITED,5,20
20,LGHL,EQ,LAXMI GOLDORNA HOUSE LIMITED,5,10
21,MANOMAY,EQ,MANOMAY TEX INDIA LIMITED,5,20
22,MINDTECK,EQ,MINDTECK (INDIA) LIMITED,5,10
23,NAHARPOLY,EQ,NAHAR POLY FILMS LIMITED,5,20
24,NEXTMEDIA,EQ,NEXT MEDIAWORKS LIMITED,5,20
25,NOVAAGRI,EQ,NOVA AGRITECH LIMITED,5,20
26,RATNAVEER,EQ,RATNAVEER PRECISION ENGINEERING LIMITED,5,20
27,RPPINFRA,EQ,R.P.P. INFRA PROJECTS LIMITED,5,20
28,SARLAPOLY,EQ,SARLA PERFORMANCE FIBERS LIMITED,5,20
29,SELMC,EQ,SEL MANUFACTURING COMPANY LIMITED,5,10
30,SHIVAMAUTO,EQ,SHIVAM AUTOTECH LIMITED,5,10
31,SRM,EQ,SRM CONTRACTORS LIMITED,5,20
32,STEL,EQ,STEL HOLDINGS LIMITED,5,20
33,USHAFIN,SM,USHA FINANCIAL SERVICES LIMITED,5,20
34,VIPCLOTHNG,EQ,VIP CLOTHING LIMITED,5,20
